DASYLab - V 13.00.00
Worksheet name: 1702_SF_WG
Recording date     : 17-2-2025, 17:00:12
Block length       : 64
Delta              : 0.01 sec.
Number of channels : 3
Measurement time[hh:mm:ss];6 [V];7 [V];8 [V];
00:00:00,00;-0,02;-0,01;-0,02;
00:00:00,01;-0,08;-0,01;-0,02;
00:00:00,02;-0,02;-0,01;-0,02;
00:00:00,03;-0,12;-0,01;-0,02;
00:00:00,04;-0,09;-0,01;-0,02;
00:00:00,05;-0,05;-0,01;-0,02;
00:00:00,06;-0,02;-0,01;-0,02;
00:00:00,07;-0,05;-0,01;-0,02;
00:00:00,08;-0,05;-0,01;-0,02;
00:00:00,09;-0,10;-0,01;-0,02;
00:00:00,10;-0,12;-0,01;-0,02;
00:00:00,11;-0,10;-0,01;-0,02;
00:00:00,12;-0,11;-0,01;-0,02;
00:00:00,13;-0,07;-0,01;-0,02;
00:00:00,14;-0,03;-0,01;-0,02;
00:00:00,15;-0,02;-0,01;-0,02;
00:00:00,16;-0,12;-0,01;-0,02;
00:00:00,17;-0,12;-0,01;-0,02;
00:00:00,18;-0,10;-0,01;-0,02;
00:00:00,19;-0,07;-0,01;-0,02;
00:00:00,20;-0,12;-0,01;-0,02;
00:00:00,21;-0,11;-0,01;-0,02;
00:00:00,22;-0,05;-0,01;-0,02;
00:00:00,23;-0,02;-0,01;-0,02;
00:00:00,24;-0,12;-0,01;-0,02;
00:00:00,25;-0,12;-0,01;-0,02;
00:00:00,26;-0,12;-0,01;-0,02;
00:00:00,27;-0,12;-0,01;-0,02;
00:00:00,28;-0,02;-0,01;-0,02;
00:00:00,29;-0,06;-0,01;-0,02;
00:00:00,30;-0,04;-0,01;-0,02;
00:00:00,31;-0,12;-0,01;-0,02;
00:00:00,32;-0,12;-0,01;-0,02;
00:00:00,33;-0,12;-0,01;-0,02;
00:00:00,34;-0,08;-0,01;-0,02;
00:00:00,35;-0,10;-0,01;-0,02;
00:00:00,36;-0,10;-0,01;-0,02;
00:00:00,37;-0,12;-0,01;-0,02;
00:00:00,38;-0,02;-0,01;-0,02;
00:00:00,39;-0,09;-0,01;-0,02;
00:00:00,40;-0,12;-0,01;-0,02;
00:00:00,41;-0,12;-0,01;-0,02;
00:00:00,42;-0,12;-0,01;-0,02;
00:00:00,43;-0,03;-0,01;-0,02;
00:00:00,44;-0,02;-0,01;-0,02;
00:00:00,45;-0,12;-0,01;-0,02;
00:00:00,46;-0,10;-0,01;-0,02;
00:00:00,47;-0,10;-0,01;-0,02;
00:00:00,48;-0,12;-0,01;-0,02;
00:00:00,49;-0,02;-0,01;-0,02;
00:00:00,50;-0,11;-0,01;-0,02;
00:00:00,51;-0,11;-0,01;-0,02;
00:00:00,52;-0,03;-0,01;-0,02;
00:00:00,53;-0,04;-0,01;-0,02;
00:00:00,54;-0,11;-0,01;-0,02;
00:00:00,55;-0,12;-0,01;-0,02;
00:00:00,56;-0,10;-0,01;-0,02;
00:00:00,57;-0,02;-0,01;-0,02;
00:00:00,58;-0,12;-0,01;-0,02;
00:00:00,59;-0,12;-0,01;-0,02;
00:00:00,60;-0,05;-0,01;-0,02;
00:00:00,61;-0,02;-0,01;-0,02;
00:00:00,62;-0,12;-0,01;-0,02;
00:00:00,63;-0,02;-0,01;-0,02;
00:00:00,64;-0,04;-0,01;-0,02;
00:00:00,65;-0,12;-0,01;-0,02;
00:00:00,66;-0,12;-0,01;-0,02;
00:00:00,67;-0,12;-0,01;-0,02;
00:00:00,68;-0,05;-0,01;-0,02;
00:00:00,69;-0,11;-0,01;-0,02;
00:00:00,70;-0,09;-0,01;-0,02;
00:00:00,71;-0,09;-0,01;-0,02;
00:00:00,72;-0,07;-0,01;-0,02;
00:00:00,73;-0,11;-0,01;-0,02;
00:00:00,74;-0,09;-0,01;-0,02;
00:00:00,75;-0,03;-0,01;-0,02;
00:00:00,76;-0,12;-0,01;-0,02;
00:00:00,77;-0,02;-0,01;-0,02;
00:00:00,78;-0,10;-0,01;-0,02;
00:00:00,79;-0,03;-0,01;-0,02;
00:00:00,80;-0,12;-0,01;-0,02;
00:00:00,81;-0,03;-0,01;-0,02;
00:00:00,82;-0,02;-0,01;-0,02;
00:00:00,83;-0,11;-0,01;-0,02;
00:00:00,84;-0,04;-0,01;-0,02;
00:00:00,85;-0,09;-0,01;-0,02;
00:00:00,86;-0,02;-0,01;-0,02;
00:00:00,87;-0,03;-0,01;-0,02;
00:00:00,88;-0,06;-0,01;-0,02;
00:00:00,89;-0,12;-0,01;-0,02;
00:00:00,90;-0,05;-0,01;-0,02;
00:00:00,91;-0,02;-0,01;-0,02;
00:00:00,92;-0,02;-0,01;-0,02;
00:00:00,93;-0,02;-0,01;-0,02;
00:00:00,94;-0,03;-0,01;-0,02;
00:00:00,95;-0,09;-0,01;-0,02;
00:00:00,96;-0,09;-0,01;-0,02;
00:00:00,97;-0,12;-0,01;-0,02;
00:00:00,98;-0,08;-0,01;-0,02;
00:00:00,99;-0,11;-0,01;-0,02;
00:00:01,00;-0,03;-0,01;-0,02;
00:00:01,01;-0,05;-0,01;-0,02;
00:00:01,02;-0,07;-0,01;-0,02;
00:00:01,03;-0,08;-0,01;-0,02;
00:00:01,04;-0,09;-0,01;-0,02;
00:00:01,05;-0,02;-0,01;-0,02;
00:00:01,06;-0,02;-0,01;-0,02;
00:00:01,07;-0,10;-0,01;-0,02;
00:00:01,08;-0,03;-0,01;-0,02;
00:00:01,09;-0,12;-0,01;-0,02;
00:00:01,10;-0,05;-0,01;-0,02;
00:00:01,11;-0,02;-0,01;-0,02;
00:00:01,12;-0,04;-0,01;-0,02;
00:00:01,13;-0,02;-0,01;-0,02;
00:00:01,14;-0,11;-0,01;-0,02;
00:00:01,15;-0,02;-0,01;-0,02;
00:00:01,16;-0,02;-0,01;-0,02;
00:00:01,17;-0,05;-0,01;-0,02;
00:00:01,18;-0,05;-0,01;-0,02;
00:00:01,19;-0,12;-0,01;-0,02;
00:00:01,20;-0,12;-0,01;-0,02;
00:00:01,21;-0,06;-0,01;-0,02;
00:00:01,22;-0,07;-0,01;-0,02;
00:00:01,23;-0,08;-0,01;-0,02;
00:00:01,24;-0,09;-0,01;-0,02;
00:00:01,25;-0,06;-0,01;-0,02;
00:00:01,26;-0,09;-0,01;-0,02;
00:00:01,27;-0,04;-0,01;-0,02;
00:00:01,28;-0,12;-0,01;-0,02;
00:00:01,29;-0,03;-0,01;-0,02;
00:00:01,30;-0,04;-0,01;-0,02;
00:00:01,31;-0,03;-0,01;-0,02;
00:00:01,32;-0,08;-0,01;-0,02;
00:00:01,33;-0,11;-0,01;-0,02;
00:00:01,34;-0,06;-0,01;-0,02;
00:00:01,35;-0,12;-0,01;-0,01;
00:00:01,36;-0,04;-0,01;-0,02;
00:00:01,37;-0,11;-0,01;-0,02;
00:00:01,38;-0,12;-0,01;-0,02;
00:00:01,39;-0,08;-0,01;-0,02;
00:00:01,40;-0,02;-0,01;-0,01;
00:00:01,41;-0,12;-0,01;-0,02;
00:00:01,42;-0,06;-0,01;-0,01;
00:00:01,43;-0,12;-0,01;-0,02;
00:00:01,44;-0,10;-0,01;-0,02;
00:00:01,45;-0,12;-0,01;-0,01;
00:00:01,46;-0,12;-0,01;-0,02;
00:00:01,47;-0,02;-0,01;-0,01;
00:00:01,48;-0,11;-0,01;-0,02;
00:00:01,49;-0,03;-0,01;-0,02;
00:00:01,50;-0,07;-0,01;-0,02;
