DASYLab - V 13.00.00
Worksheet name: 1702_SF
Recording date     : 18-2-2025, 09:59:43
Block length       : 64
Delta              : 0.01 sec.
Number of channels : 3
Measurement time[hh:mm:ss];6 [V];7 [V];8 [V];
00:00:00,00;-0,04;-0,05;-0,00;
00:00:00,01;0,04;-0,06;-0,00;
00:00:00,02;0,24;-0,05;-0,00;
00:00:00,03;-0,05;-0,05;-0,00;
00:00:00,04;-0,07;-0,05;-0,00;
00:00:00,05;-0,08;-0,05;-0,00;
00:00:00,06;-0,08;-0,05;-0,00;
00:00:00,07;0,29;-0,05;-0,00;
00:00:00,08;-0,08;-0,05;-0,00;
00:00:00,09;0,03;-0,06;-0,00;
00:00:00,10;0,29;-0,06;-0,00;
00:00:00,11;-0,08;-0,05;-0,00;
00:00:00,12;0,15;-0,05;-0,00;
00:00:00,13;0,18;-0,05;-0,00;
00:00:00,14;0,24;-0,05;-0,00;
00:00:00,15;0,26;-0,06;-0,00;
00:00:00,16;-0,07;-0,05;-0,00;
00:00:00,17;0,01;-0,05;-0,00;
00:00:00,18;0,25;-0,05;-0,00;
00:00:00,19;0,21;-0,05;-0,00;
00:00:00,20;-0,02;-0,05;-0,00;
00:00:00,21;0,06;-0,05;-0,00;
00:00:00,22;0,29;-0,05;-0,00;
00:00:00,23;0,16;-0,05;-0,00;
00:00:00,24;0,00;-0,05;-0,00;
00:00:00,25;0,31;-0,05;-0,00;
00:00:00,26;-0,07;-0,05;-0,00;
00:00:00,27;0,27;-0,05;-0,00;
00:00:00,28;0,29;-0,05;-0,00;
00:00:00,29;0,31;-0,05;-0,00;
00:00:00,30;0,22;-0,05;-0,00;
00:00:00,31;0,23;-0,06;-0,00;
00:00:00,32;0,29;-0,05;-0,00;
00:00:00,33;0,25;-0,05;-0,00;
00:00:00,34;-0,03;-0,05;-0,00;
00:00:00,35;0,26;-0,05;-0,00;
00:00:00,36;-0,05;-0,05;-0,00;
00:00:00,37;0,25;-0,05;-0,00;
00:00:00,38;0,00;-0,05;-0,00;
00:00:00,39;-0,01;-0,05;-0,00;
00:00:00,40;-0,00;-0,05;-0,00;
00:00:00,41;0,31;-0,06;-0,00;
00:00:00,42;-0,08;-0,05;-0,00;
00:00:00,43;-0,05;-0,05;-0,00;
00:00:00,44;-0,04;-0,05;-0,00;
00:00:00,45;0,13;-0,05;-0,00;
00:00:00,46;-0,02;-0,05;-0,00;
00:00:00,47;-0,09;-0,06;-0,00;
00:00:00,48;-0,01;-0,06;-0,00;
00:00:00,49;0,05;-0,06;-0,00;
00:00:00,50;0,12;-0,05;-0,00;
00:00:00,51;0,31;-0,05;-0,00;
00:00:00,52;0,27;-0,05;-0,00;
00:00:00,53;-0,02;-0,05;-0,00;
00:00:00,54;0,23;-0,06;-0,00;
00:00:00,55;0,03;-0,06;-0,00;
00:00:00,56;0,29;-0,05;-0,00;
00:00:00,57;0,10;-0,06;-0,00;
00:00:00,58;-0,06;-0,05;-0,00;
00:00:00,59;0,31;-0,05;-0,00;
00:00:00,60;0,06;-0,06;-0,00;
00:00:00,61;0,26;-0,05;-0,00;
00:00:00,62;0,29;-0,05;-0,00;
00:00:00,63;-0,06;-0,06;-0,00;
00:00:00,64;0,01;-0,05;-0,00;
00:00:00,65;0,29;-0,06;-0,00;
00:00:00,66;0,29;-0,05;-0,00;
00:00:00,67;-0,04;-0,05;-0,00;
00:00:00,68;0,07;-0,05;-0,00;
00:00:00,69;-0,06;-0,05;-0,00;
00:00:00,70;-0,07;-0,05;-0,00;
00:00:00,71;0,31;-0,05;-0,00;
00:00:00,72;-0,08;-0,05;-0,00;
00:00:00,73;-0,08;-0,05;-0,00;
00:00:00,74;-0,05;-0,05;-0,00;
00:00:00,75;0,01;-0,05;-0,00;
00:00:00,76;0,16;-0,05;-0,00;
00:00:00,77;0,29;-0,05;-0,00;
00:00:00,78;-0,04;-0,05;-0,00;
00:00:00,79;0,20;-0,05;-0,00;
00:00:00,80;0,29;-0,05;-0,00;
00:00:00,81;0,06;-0,05;-0,00;
00:00:00,82;-0,01;-0,05;-0,00;
00:00:00,83;0,01;-0,05;-0,00;
00:00:00,84;-0,05;-0,05;-0,00;
00:00:00,85;-0,07;-0,05;-0,00;
00:00:00,86;0,24;-0,05;-0,00;
00:00:00,87;0,28;-0,05;-0,00;
00:00:00,88;0,26;-0,05;-0,00;
00:00:00,89;0,25;-0,05;-0,00;
00:00:00,90;-0,06;-0,05;-0,00;
00:00:00,91;0,27;-0,05;-0,00;
00:00:00,92;-0,03;-0,05;-0,00;
00:00:00,93;0,00;-0,05;-0,00;
00:00:00,94;-0,09;-0,05;-0,00;
00:00:00,95;0,26;-0,05;-0,00;
00:00:00,96;0,02;-0,05;-0,00;
00:00:00,97;0,30;-0,06;-0,00;
00:00:00,98;0,14;-0,05;-0,00;
00:00:00,99;0,31;-0,05;-0,00;
00:00:01,00;0,22;-0,05;-0,00;
00:00:01,01;0,12;-0,05;-0,00;
00:00:01,02;-0,00;-0,06;-0,00;
00:00:01,03;-0,02;-0,05;-0,00;
00:00:01,04;0,23;-0,05;-0,00;
00:00:01,05;-0,07;-0,06;-0,00;
00:00:01,06;0,29;-0,05;-0,00;
00:00:01,07;0,25;-0,05;-0,00;
00:00:01,08;-0,02;-0,05;-0,00;
00:00:01,09;-0,01;-0,05;-0,00;
00:00:01,10;0,27;-0,05;-0,00;
00:00:01,11;0,29;-0,05;-0,00;
00:00:01,12;-0,08;-0,05;-0,00;
00:00:01,13;-0,07;-0,05;-0,00;
00:00:01,14;0,24;-0,05;-0,00;
00:00:01,15;0,22;-0,06;-0,00;
00:00:01,16;0,02;-0,05;-0,00;
00:00:01,17;0,30;-0,05;-0,00;
00:00:01,18;0,11;-0,05;-0,00;
00:00:01,19;0,22;-0,05;-0,00;
00:00:01,20;0,11;-0,05;-0,00;
00:00:01,21;-0,05;-0,05;-0,00;
00:00:01,22;0,01;-0,06;-0,00;
00:00:01,23;0,30;-0,05;-0,00;
00:00:01,24;0,28;-0,06;-0,00;
00:00:01,25;0,08;-0,05;-0,00;
00:00:01,26;0,27;-0,05;-0,00;
00:00:01,27;0,13;-0,05;-0,00;
00:00:01,28;0,24;-0,05;-0,00;
00:00:01,29;-0,05;-0,06;-0,00;
00:00:01,30;-0,01;-0,05;-0,00;
00:00:01,31;0,01;-0,06;-0,00;
00:00:01,32;-0,08;-0,05;-0,00;
00:00:01,33;0,06;-0,06;-0,00;
00:00:01,34;0,27;-0,05;-0,00;
00:00:01,35;0,26;-0,05;-0,00;
00:00:01,36;0,22;-0,05;-0,00;
00:00:01,37;0,24;-0,05;-0,00;
00:00:01,38;0,29;-0,06;-0,00;
00:00:01,39;0,03;-0,05;-0,00;
00:00:01,40;0,15;-0,05;-0,00;
00:00:01,41;0,28;-0,05;-0,00;
00:00:01,42;-0,03;-0,05;-0,00;
00:00:01,43;0,08;-0,05;-0,00;
00:00:01,44;0,27;-0,05;-0,00;
00:00:01,45;0,31;-0,05;-0,00;
00:00:01,46;0,12;-0,05;-0,00;
00:00:01,47;0,27;-0,05;-0,00;
00:00:01,48;0,06;-0,05;-0,00;
00:00:01,49;-0,07;-0,05;-0,00;
00:00:01,50;0,19;-0,05;-0,00;
00:00:01,51;-0,01;-0,05;-0,00;
00:00:01,52;0,28;-0,05;-0,00;
00:00:01,53;-0,01;-0,05;-0,00;
00:00:01,54;-0,09;-0,05;-0,00;
00:00:01,55;0,27;-0,06;-0,00;
00:00:01,56;-0,08;-0,06;-0,00;
00:00:01,57;-0,06;-0,05;-0,00;
00:00:01,58;0,10;-0,05;-0,00;
00:00:01,59;0,10;-0,05;-0,00;
00:00:01,60;-0,08;-0,05;-0,00;
00:00:01,61;0,31;-0,05;-0,00;
00:00:01,62;0,27;-0,05;-0,00;
00:00:01,63;0,19;-0,05;-0,00;
00:00:01,64;0,25;-0,05;-0,00;
00:00:01,65;0,23;-0,05;-0,00;
00:00:01,66;0,00;-0,05;-0,00;
00:00:01,67;0,14;-0,05;-0,00;
00:00:01,68;0,06;-0,05;-0,00;
00:00:01,69;-0,07;-0,05;-0,00;
00:00:01,70;-0,01;-0,05;-0,00;
00:00:01,71;0,30;-0,05;-0,00;
00:00:01,72;0,12;-0,05;-0,00;
00:00:01,73;0,25;-0,05;-0,00;
00:00:01,74;-0,01;-0,05;-0,00;
00:00:01,75;0,27;-0,06;-0,00;
00:00:01,76;0,15;-0,05;-0,00;
00:00:01,77;-0,05;-0,06;-0,00;
00:00:01,78;0,24;-0,05;-0,00;
00:00:01,79;-0,07;-0,05;-0,00;
00:00:01,80;0,17;-0,05;-0,00;
00:00:01,81;-0,04;-0,05;-0,00;
00:00:01,82;0,21;-0,05;-0,00;
00:00:01,83;-0,08;-0,05;-0,00;
00:00:01,84;0,03;-0,06;-0,00;
00:00:01,85;0,22;-0,06;-0,00;
00:00:01,86;-0,04;-0,05;-0,00;
00:00:01,87;0,01;-0,05;-0,00;
00:00:01,88;0,15;-0,05;-0,00;
00:00:01,89;0,03;-0,05;-0,00;
00:00:01,90;0,14;-0,05;-0,00;
00:00:01,91;-0,07;-0,05;-0,00;
00:00:01,92;0,07;-0,05;-0,00;
00:00:01,93;0,31;-0,05;-0,00;
00:00:01,94;0,19;-0,05;-0,00;
00:00:01,95;-0,05;-0,05;-0,00;
00:00:01,96;0,22;-0,05;-0,00;
00:00:01,97;-0,06;-0,05;-0,00;
00:00:01,98;0,28;-0,05;-0,00;
00:00:01,99;-0,02;-0,05;-0,00;
00:00:02,00;0,19;-0,05;-0,00;
00:00:02,01;0,01;-0,05;-0,00;
00:00:02,02;0,10;-0,05;-0,00;
00:00:02,03;-0,04;-0,05;-0,00;
00:00:02,04;-0,08;-0,05;-0,00;
00:00:02,05;-0,07;-0,05;-0,00;
00:00:02,06;0,25;-0,05;-0,00;
00:00:02,07;0,16;-0,05;-0,00;
00:00:02,08;-0,07;-0,05;-0,00;
00:00:02,09;0,11;-0,05;-0,00;
00:00:02,10;0,13;-0,05;-0,00;
00:00:02,11;0,10;-0,05;-0,00;
00:00:02,12;-0,10;-0,05;-0,00;
00:00:02,13;0,07;-0,05;-0,00;
00:00:02,14;0,27;-0,05;-0,00;
00:00:02,15;0,13;-0,06;-0,00;
00:00:02,16;-0,09;-0,05;-0,00;
00:00:02,17;0,06;-0,05;-0,00;
00:00:02,18;0,17;-0,05;-0,00;
00:00:02,19;0,22;-0,05;-0,00;
00:00:02,20;0,14;-0,06;-0,00;
00:00:02,21;0,04;-0,05;-0,00;
00:00:02,22;0,29;-0,05;-0,00;
00:00:02,23;0,25;-0,05;-0,00;
00:00:02,24;0,20;-0,05;-0,00;
