DASYLab - V 13.00.00
Worksheet name: 1702_SF
Recording date     : 21-2-2025, 13:27:30
Block length       : 64
Delta              : 0.01 sec.
Number of channels : 3
Measurement time[hh:mm:ss];6 [V];7 [V];8 [V];
00:00:00,00;0,15;-0,06;0,03;
00:00:00,01;0,11;-0,05;0,03;
00:00:00,02;0,11;-0,05;0,03;
00:00:00,03;0,18;-0,05;0,03;
00:00:00,04;0,16;-0,06;0,03;
00:00:00,05;0,13;-0,05;0,03;
00:00:00,06;0,13;-0,06;0,03;
00:00:00,07;0,14;-0,06;0,03;
00:00:00,08;0,21;-0,06;0,03;
00:00:00,09;0,16;-0,06;0,03;
00:00:00,10;0,16;-0,06;0,03;
00:00:00,11;0,21;-0,06;0,03;
00:00:00,12;0,21;-0,06;0,03;
00:00:00,13;0,21;-0,07;0,03;
00:00:00,14;0,21;-0,07;0,03;
00:00:00,15;0,21;-0,07;0,03;
00:00:00,16;0,21;-0,07;0,03;
00:00:00,17;0,15;-0,07;0,03;
00:00:00,18;0,22;-0,07;0,03;
00:00:00,19;0,22;-0,07;0,03;
00:00:00,20;0,14;-0,08;0,03;
00:00:00,21;0,22;-0,07;0,03;
00:00:00,22;0,16;-0,08;0,03;
00:00:00,23;0,22;-0,08;0,03;
00:00:00,24;0,21;-0,08;0,03;
00:00:00,25;0,20;-0,08;0,03;
00:00:00,26;0,22;-0,08;0,03;
00:00:00,27;0,14;-0,08;0,02;
00:00:00,28;0,20;-0,08;0,02;
00:00:00,29;0,20;-0,08;0,02;
00:00:00,30;0,17;-0,08;0,02;
00:00:00,31;0,17;-0,07;0,02;
00:00:00,32;0,16;-0,07;0,02;
00:00:00,33;0,22;-0,07;0,02;
00:00:00,34;0,18;-0,07;0,02;
00:00:00,35;0,22;-0,07;0,01;
00:00:00,36;0,21;-0,07;0,01;
00:00:00,37;0,16;-0,07;0,01;
00:00:00,38;0,15;-0,07;0,01;
00:00:00,39;0,13;-0,06;0,01;
00:00:00,40;0,20;-0,07;0,00;
00:00:00,41;0,14;-0,06;0,00;
00:00:00,42;0,13;-0,06;0,00;
00:00:00,43;0,15;-0,06;-0,00;
00:00:00,44;0,19;-0,06;-0,00;
00:00:00,45;0,17;-0,06;-0,00;
00:00:00,46;0,19;-0,06;-0,01;
00:00:00,47;0,19;-0,06;-0,01;
00:00:00,48;0,17;-0,06;-0,01;
00:00:00,49;0,18;-0,06;-0,01;
00:00:00,50;0,13;-0,07;-0,01;
00:00:00,51;0,17;-0,06;-0,01;
00:00:00,52;0,12;-0,07;-0,01;
00:00:00,53;0,13;-0,07;-0,01;
00:00:00,54;0,20;-0,07;-0,01;
00:00:00,55;0,14;-0,07;-0,00;
00:00:00,56;0,19;-0,07;-0,00;
00:00:00,57;0,13;-0,07;-0,00;
00:00:00,58;0,17;-0,08;-0,00;
00:00:00,59;0,16;-0,08;-0,00;
00:00:00,60;0,19;-0,08;-0,00;
00:00:00,61;0,12;-0,08;0,00;
00:00:00,62;0,14;-0,08;0,00;
00:00:00,63;0,11;-0,08;0,00;
00:00:00,64;0,14;-0,08;0,00;
00:00:00,65;0,15;-0,08;0,00;
